Job,Category,Company,Location,Compensation,Link
Software Developer,Software Engineering,Vemgoo,Cape Town,€12k – €18k • No equity,https://angel.co/company/vemgoo/jobs/549251-software-developer
Senior Software Engineer,Software Engineering,Vemgoo,Remote,€10k – €50k • 0.0% – 5.0%,https://angel.co/company/vemgoo/jobs/552582-senior-software-engineer
Software Developer,Software Engineering,Vemgoo,Remote,€12k – €18k • 0.0% – 2.0%,https://angel.co/company/vemgoo/jobs/567922-software-developer
Product Intern,Design,Stacker,Remote,$15k – $30k • No equity,https://angel.co/company/stacker-2/jobs/437996-product-intern
Product-minded UX designer in Europe/Africa timezones,Design,Stacker,Remote,$20k – $90k • No equity,https://angel.co/company/stacker-2/jobs/570483-product-minded-ux-designer-in-europe-africa-timezones
React Developer (remote but GMT+/-3 required),Software Engineering,Stacker,Remote,$30k – $90k • No equity,https://angel.co/company/stacker-2/jobs/501076-react-developer-remote-but-gmt-3-required
Product Lead with Developer Background (JavaScript),Other,Stacker,London,£30k – £90k • No equity,https://angel.co/company/stacker-2/jobs/500239-product-lead-with-developer-background-javascript
"Senior UI/UX Designer (Part-time, Adtech B2B, remote)",Design,Instaon,Remote,$25k – $45k • No equity,https://angel.co/company/instaon/jobs/646979-senior-ui-ux-designer-part-time-adtech-b2b-remote
"Senior Content Marketing Specialist (AdTech Industry, Remote)",Marketing,Instaon,Remote,$35k – $65k • No equity,https://angel.co/company/instaon/jobs/568228-senior-content-marketing-specialist-adtech-industry-remote
"Senior Front-End developer (B2B, Adtech, Remote)",Software Engineering,Instaon,Remote,$30k – $50k • No equity,https://angel.co/company/instaon/jobs/612196-senior-front-end-developer-b2b-adtech-remote
Product Manager,Other,Peach Payments,Cape Town,$20k – $28k • No equity,https://angel.co/company/peach-payments/jobs/561963-product-manager
"Director, Growth Marketing & Audience Development",Marketing,Maple Media,Los Angeles,$75k – $100k • No equity,https://angel.co/company/maplemedia/jobs/499745-director-growth-marketing-audience-development
Product Marketing Manager,Marketing,Maple Media,Los Angeles,,https://angel.co/company/maplemedia/jobs/573467-product-marketing-manager
"Business Development Manager, Acquisitions",Sales,Maple Media,Los Angeles,$50k – $65k • No equity,https://angel.co/company/maplemedia/jobs/495362-business-development-manager-acquisitions
Android Engineer,Software Engineering,Maple Media,Gatineau,,https://angel.co/company/maplemedia/jobs/575178-android-engineer
