Job,Job Link,Company,Company Link,Salary Range,Contract Type
Claims Vetting Officer,https://www.fuzu.com/jobs/claims-vetting-officer-cic-group,CIC Group,https://www.fuzu.com/company/cic-group,Confidential,Temporary
"Capacity Development and Membership Engagement Manager (The Girl Generation, Phase 2)",https://www.fuzu.com/jobs/capacity-development-and-membership-engagement-manager-the-girl-generation-phase-2-options-consultancy-services,Options Consultancy Services,https://www.fuzu.com/company/options-consultancy-services,Confidential,Fixed term
Social Safeguard Expert,https://www.fuzu.com/jobs/social-safeguard-expert-state-department-of-devolution-and-the-asals,State Department of Devolution and The ASALS,https://www.fuzu.com/company/state-department-of-devolution-and-the-asals,Confidential,Permanent
Gender Lead,https://www.fuzu.com/jobs/gender-lead-options-consultancy-services,Options Consultancy Services,https://www.fuzu.com/company/options-consultancy-services,Confidential,Permanent
Head Of Technical Services: MIWASCO/HTS/01/10/2019,https://www.fuzu.com/jobs/head-of-technical-services-miwasco-hts-01-10-2019-county-government-of-migori,County Government of Migori,https://www.fuzu.com/company/county-government-of-migori,Confidential,Permanent
Head Of Finance And Commercial Services: MIWASCO/HFCS/02/10/2019,https://www.fuzu.com/jobs/head-of-finance-and-commercial-services-miwasco-hfcs-02-10-2019-county-government-of-migori,County Government of Migori,https://www.fuzu.com/company/county-government-of-migori,Confidential,Permanent
Head Of Human Resources & Administration: MIWASCO/HRA/03/10/2019,https://www.fuzu.com/jobs/head-of-human-resources-administration-miwasco-hra-03-10-2019-county-government-of-migori,County Government of Migori,https://www.fuzu.com/company/county-government-of-migori,Confidential,Fixed term
Internal Auditor: MIWASCO/IA/04/10/2019,https://www.fuzu.com/jobs/internal-auditor-miwasco-ia-04-10-2019-county-government-of-migori,County Government of Migori,https://www.fuzu.com/company/county-government-of-migori,Confidential,Fixed term
Procurement Officer: MIWASCO/PO/05/10/2019,https://www.fuzu.com/jobs/procurement-officer-miwasco-po-05-10-2019-county-government-of-migori,County Government of Migori,https://www.fuzu.com/company/county-government-of-migori,Confidential,Fixed term
Cooks (Hot Kitchen),https://www.fuzu.com/jobs/cooks-hot-kitchen-peaks-hotel-nanyuki,Peaks Hotel Nanyuki,https://www.fuzu.com/company/peaks-hotel-nanyuki,Confidential,Permanent
Kitchen Stewards,https://www.fuzu.com/jobs/kitchen-stewards-peaks-hotel-nanyuki,Peaks Hotel Nanyuki,https://www.fuzu.com/company/peaks-hotel-nanyuki,Confidential,Permanent
Intern - Graphic Designer,https://www.fuzu.com/jobs/intern-graphic-designer-e254-group,E254 Group,https://www.fuzu.com/company/e254-group,Confidential,Permanent
Intern - Front Office Reception And Administration,https://www.fuzu.com/jobs/intern-front-office-reception-and-administration-e254-group,E254 Group,https://www.fuzu.com/company/e254-group,Confidential,Permanent
Intern - Sales & Marketing,https://www.fuzu.com/jobs/intern-sales-marketing-e254-group,E254 Group,https://www.fuzu.com/company/e254-group,Confidential,Permanent
Intern - Screen Printing,https://www.fuzu.com/jobs/intern-screen-printing-e254-group,E254 Group,https://www.fuzu.com/company/e254-group,Confidential,Permanent
Senior Branch Accountant,https://www.fuzu.com/jobs/senior-branch-accountant-white-labelled-employer,White Labelled Employer,https://www.fuzu.com/company/white-labelled-employer,Confidential,Permanent
Layouter/Technical Sales,https://www.fuzu.com/jobs/layouter-technical-sales-khs-ea-ltd,KHS East Africa Ltd,https://www.fuzu.com/company/khs-ea-ltd,Confidential,Permanent
Sous Chef,https://www.fuzu.com/jobs/sous-chef-fairmont-the-norfolk-hotel,Fairmont The Norfolk Hotel,https://www.fuzu.com/company/fairmont-the-norfolk-hotel,Confidential,Permanent
Commis Chef,https://www.fuzu.com/jobs/commis-chef-fairmont-the-norfolk-hotel,Fairmont The Norfolk Hotel,https://www.fuzu.com/company/fairmont-the-norfolk-hotel,Confidential,Permanent
Sales Manager - Nakuru,https://www.fuzu.com/jobs/sales-manager-nakuru-acacia-innovations-ltd-e605d88f,Acacia Innovations Ltd,https://www.fuzu.com/company/acacia-innovations-ltd,Confidential,Permanent
Accountant,https://www.fuzu.com/jobs/accountant-summit-recruitment-search-2e81cdcb,Summit Recruitment & Search,https://www.fuzu.com/company/summit-recruitment-search,Confidential,Permanent
Project Activator and Enumerator-Kisii Region,https://www.fuzu.com/jobs/project-activator-and-enumerator-kisii-region-burn-manufacturing,BURN Manufacturing,https://www.fuzu.com/company/burn-manufacturing,Confidential,Fixed term
Project Activator and Enumerator- Nyeri Region,https://www.fuzu.com/jobs/project-activator-and-enumerator-nyeri-region-burn-manufacturing,BURN Manufacturing,https://www.fuzu.com/company/burn-manufacturing,Confidential,Fixed term
Project Activator and Enumerator- HomaBay Region,https://www.fuzu.com/jobs/project-activator-and-enumerator-homabay-region-burn-manufacturing,BURN Manufacturing,https://www.fuzu.com/company/burn-manufacturing,Confidential,Fixed term
Project Activator and Enumerator- Nakuru Region,https://www.fuzu.com/jobs/project-activator-and-enumerator-nakuru-region-burn-manufacturing,BURN Manufacturing,https://www.fuzu.com/company/burn-manufacturing,Confidential,Fixed term
Project Activator and Enumerator- Meru Region,https://www.fuzu.com/jobs/project-activator-and-enumerator-meru-region-burn-manufacturing,BURN Manufacturing,https://www.fuzu.com/company/burn-manufacturing,Confidential,Fixed term
Project Activator and Enumerator- Eldoret Region,https://www.fuzu.com/jobs/project-activator-and-enumerator-eldoret-region-burn-manufacturing,BURN Manufacturing,https://www.fuzu.com/company/burn-manufacturing,Confidential,Fixed term
Project Activator and Enumerator- Kericho Region,https://www.fuzu.com/jobs/project-activator-and-enumerator-kericho-region-burn-manufacturing-dbc2613a,BURN Manufacturing,https://www.fuzu.com/company/burn-manufacturing,Confidential,Fixed term
Medical Device Field Sales Representative - Nairobi,https://www.fuzu.com/jobs/medical-device-field-sales-representative-nairobi-ilara-health-ece5e4b0,Ilara Health,https://www.fuzu.com/company/ilara-health,Confidential,Permanent
Personal Assistant,https://www.fuzu.com/jobs/personal-assistant-reeds-africa-consult,Reeds Africa Consult,https://www.fuzu.com/company/reeds-africa-consult,Confidential,Permanent
Solutions Business Consultant EA,https://www.fuzu.com/jobs/solutions-business-consultant-ea-canon,Canon,https://www.fuzu.com/company/canon,Confidential,Permanent
Regional Sales Manager,https://www.fuzu.com/jobs/regional-sales-manager-bic-4e401eca,BIC,https://www.fuzu.com/company/bic,Confidential,Permanent
Senior Technical Advisor,https://www.fuzu.com/jobs/senior-technical-advisor-management-sciences-for-health-d2865ea8,Management Sciences for Health,https://www.fuzu.com/company/management-sciences-for-health,Confidential,Permanent
Product Manager - Sub Saharan Africa-1915464,https://www.fuzu.com/jobs/product-manager-sub-saharan-africa-1915464-boehringer-ingelheim,Boehringer Ingelheim,https://www.fuzu.com/company/boehringer-ingelheim,Confidential,Permanent
National Sales Account Manager,https://www.fuzu.com/jobs/national-sales-account-manager-safaricom,SAFARICOM,https://www.fuzu.com/company/safaricom,Confidential,Permanent
Software Engineer,https://www.fuzu.com/jobs/software-engineer-safaricom-2c06f0dd,SAFARICOM,https://www.fuzu.com/company/safaricom,Confidential,Permanent
Database Administrator,https://www.fuzu.com/jobs/database-administrator-safaricom-18404349,SAFARICOM,https://www.fuzu.com/company/safaricom,Confidential,Permanent
Sales Account Relationship Manager,https://www.fuzu.com/jobs/sales-account-relationship-manager-safaricom,SAFARICOM,https://www.fuzu.com/company/safaricom,Confidential,Permanent
