Job Title,Company,Location,Salary,Job_link,Company Link
Growth Manager,CoGrammar,Cape Town •,$20k – $25k,https://angel.co/company/cogrammar/jobs/699190-growth-manager,https://angel.co/company/cogrammar
Marketing Associate,CoGrammar,Cape Town •,$10k – $12k,https://angel.co/company/cogrammar/jobs/699191-marketing-associate,https://angel.co/company/cogrammar
Technical Product Manager,CoGrammar,,,https://angel.co/company/cogrammar/jobs/718313-technical-product-manager,https://angel.co/company/cogrammar
Software Developer,Veegil Media,Ota • Ota • Lagos,$3k – $4k • No equity,https://angel.co/company/veegil-media/jobs/720237-software-developer,https://angel.co/company/veegil-media
Intern & Trainee,Bueths & Kurt CDA,Nairobi • Kilifi •,$5k – $10k,https://angel.co/company/bkcda/jobs/677179-intern-trainee,https://angel.co/company/bkcda
Consultant - Finance & Accounting,Bueths & Kurt CDA,Nairobi • Kilifi •,$5k – $10k,https://angel.co/company/bkcda/jobs/677192-consultant-finance-accounting,https://angel.co/company/bkcda
Consultant - Auditing & Assurance,Bueths & Kurt CDA,Nairobi • Meru • Kilifi •,$5k – $10k,https://angel.co/company/bkcda/jobs/677194-consultant-auditing-assurance,https://angel.co/company/bkcda
Staff Trainer,Bueths & Kurt CDA,Kilifi •,$5k – $10k,https://angel.co/company/bkcda/jobs/677195-staff-trainer,https://angel.co/company/bkcda
Consultant - Cyber Security & Ethical Hacking,Bueths & Kurt CDA,Nairobi • Meru • Kilifi •,$5k – $10k,https://angel.co/company/bkcda/jobs/677187-consultant-cyber-security-ethical-hacking,https://angel.co/company/bkcda
Co-Founder // Head of Business Development,Social Coders Academy,Cape Town,No salary • 33.0% – 33.0%,https://angel.co/company/social-coders-academy/jobs/471698-co-founder-head-of-business-development,https://angel.co/company/social-coders-academy
Co-Founder // Head of Education,Social Coders Academy,Cape Town,No salary • 33.0% – 33.0%,https://angel.co/company/social-coders-academy/jobs/471649-co-founder-head-of-education,https://angel.co/company/social-coders-academy
Full-stack developer (part-time),RECONO.ME,London • East London • London •,£20k – £40k,https://angel.co/company/recono-me/jobs/405531-full-stack-developer-part-time,https://angel.co/company/recono-me
Hardware Start-Up Master Technician (Level 3 or above),RECONO.ME,East London,£30k – £40k • 0.0% – 1.0%,https://angel.co/company/recono-me/jobs/576118-hardware-start-up-master-technician-level-3-or-above,https://angel.co/company/recono-me
Full Stack Developer,MonAfrique Lifestyle,Nigeria • Abuja •,$2k – $4k,https://angel.co/company/monafrique-1/jobs/625891-full-stack-developer,https://angel.co/company/monafrique-1
Graphic Designer,MonAfrique Lifestyle,Nigeria • Abuja •,$2k – $4k,https://angel.co/company/monafrique-1/jobs/643496-graphic-designer,https://angel.co/company/monafrique-1
Operations Specialist,MonAfrique Lifestyle,Nigeria • Abuja •,$4k – $6k,https://angel.co/company/monafrique-1/jobs/642339-operations-specialist,https://angel.co/company/monafrique-1
Recruiter & PR Specialist,MonAfrique Lifestyle,Abuja •,$15k – $20k,https://angel.co/company/monafrique-1/jobs/662929-recruiter-pr-specialist,https://angel.co/company/monafrique-1
Business Brokers,Teleios Consulting Services,Cape Town •,$12k – $80k,https://angel.co/company/teleios-consulting-services/jobs/435978-business-brokers,https://angel.co/company/teleios-consulting-services
Property broker,Teleios Consulting Services,Cape Town •,$12k – $80k,https://angel.co/company/teleios-consulting-services/jobs/435987-property-broker,https://angel.co/company/teleios-consulting-services
Business Developer,brandedNG,Port Harcourt,No salary • 7.0% – 15.0%,https://angel.co/company/brandedng/jobs/666739-business-developer,https://angel.co/company/brandedng
CMO,brandedNG,Port Harcourt,No salary • 5.0% – 15.0%,https://angel.co/company/brandedng/jobs/666755-cmo,https://angel.co/company/brandedng
Operations Manager,Medixus,Nairobi •,$9k – $10k,https://angel.co/company/medixus/jobs/688062-operations-manager,https://angel.co/company/medixus
Clinical Associate,Medixus,Nairobi •,$1k – $3k,https://angel.co/company/medixus/jobs/665255-clinical-associate,https://angel.co/company/medixus
Junior Software Engineer,Vemgoo,Cape Town • Berlin •,$1k – $3k,https://angel.co/company/vemgoo/jobs/440663-junior-software-engineer,https://angel.co/company/vemgoo
Senior Frontend Developer,Vemgoo,Cape Town,$20k – $50k • 0.0% – 6.0%,https://angel.co/company/vemgoo/jobs/490175-senior-frontend-developer,https://angel.co/company/vemgoo
Software Developer,Vemgoo,Cape Town •,€12k – €18k,https://angel.co/company/vemgoo/jobs/549251-software-developer,https://angel.co/company/vemgoo
Technical Lead/CTO/Co-Founder,Vemgoo,Cape Town • Berlin,$0k – $30k • 5.0% – 15.0%,https://angel.co/company/vemgoo/jobs/573869-technical-lead-cto-co-founder,https://angel.co/company/vemgoo
CTO (Fullstack developer),DealTamu,irobi • Nairobi Count,No salary • 10.0% – 10.0%,https://angel.co/company/dealtamu/jobs/376467-cto-fullstack-developer,https://angel.co/company/dealtamu
Back-end developer,ITAPS,Singapore •,$40k – $60k,https://angel.co/company/itaps-1/jobs/667251-back-end-developer,https://angel.co/company/itaps-1
Full stack developer,Imagine Insurance,Johannesburg,$20k – $80k • 0.0% – 5.0%,https://angel.co/company/imagine-insurance/jobs/630236-full-stack-developer,https://angel.co/company/imagine-insurance
